IdStation,Name,Address,DockBikes,FreeBases,TotalBases,Estado,NoAvailabl,Longitud,Latitud
2318,321 - Metro Casa de Campo,Carretera del zoo s/n (metro Casa de Campo),13,14,27,Poca disponibilidad,Disponible,-3.761051,40.40316
2319,310 - Estación de tren de Aravaca,Calle Rosas de Aravaca,18,5,23,Disponible,Disponible,-3.784554,40.449051
2320,311 - C. Universitaria - F. Geografía e Histo,"Calle Profesor Aranguren, 1",25,2,27,Disponible,Disponible,-3.733574,40.448553
2321,283 - Museo Nacional del Prado,"Calle Felipe IV, 5",17,6,23,Disponible,Disponible,-3.691906,40.415208
2322,564 - IFEMA B,"Avenida Del Partenón, 18",7,16,23,Fuera de servicio,Disponible,-3.613867,40.463861
2323,468 - Caños de San Pedro - San Cipriano,"Calle Caños de San Pedro, 12",10,13,23,Poca disponibilidad,Disponible,-3.60192,40.402998
2324,465 - Cordel de Pavones - Bulevar José Prat,"Cordel de Pavones, 48",15,9,24,Poca disponibilidad,Disponible,-3.619645,40.397375
2325,414 - Metro Villaverde Bajo-Cruce,"Calle Santa Petronila, 7",4,20,24,Fuera de servicio,Disponible,-3.692163,40.350985
2326,380 - Oca,"Calle de la Oca, 22",14,10,24,Poca disponibilidad,Disponible,-3.733549,40.389433
2327,411 - Estación de tren de Villaverde Alto,"Calle Domingo Párraga, 38",11,12,23,Poca disponibilidad,Disponible,-3.711818,40.341753
2328,354 - Jacinto Verdaguer - Lola de Membrives,"Calle Jacinto Verdaguer, 12",5,19,24,Fuera de servicio,Disponible,-3.716053,40.395939
2329,318 - C. Deportivo Mpal. José María Cagigal,"Calle Santa Pola, 22",21,2,23,Disponible,Disponible,-3.737028,40.432051
2330,549 - Francisco Pi y Maragall,"Avenida Francisco Pi y Margall, 29",2,17,19,Fuera de servicio,Disponible,-3.650354,40.486635
2331,"279 - Paseo de los Melancólicos, 1","Paseo de los Melancólicos, 1",10,13,23,Poca disponibilidad,Disponible,-3.718482,40.410445
2332,"407 - Carmen de Burgos, 4","Calle Carmen de Burgos, 4",7,16,23,Fuera de servicio,Disponible,-3.684788,40.357546
2333,"276 - Paseo de las Yeserías, 15","Paseo de las Yeserías, 15",12,10,23,Poca disponibilidad,Disponible,-3.709917,40.399005
