tipo_elem,distrito,id,id_cruce,fecha_inst,longitud,latitud
2200PeatonBici,16,61056,4825,10/04/2025,-3.61244941669706,40.48824100842080
2200PeatonBici,16,61059,4825,10/04/2025,-3.61233546609681,40.48817811105180
2200PeatonBici,16,61060,4825,10/04/2025,-3.61227513459072,40.48814428383470
2200PeatonBici,16,61061,4825,10/04/2025,-3.61225936384615,40.48813568090260
2200PeatonBici,16,61064,4825,10/04/2025,-3.61241155755245,40.48821934307240
2200PeatonBici,17,61140,4713,,-3.70031693072869,40.36199260331400
2200PeatonBici,17,61141,4722,,-3.70532265187741,40.35190077201150
2200PeatonBici,17,61142,4722,,-3.70533714035904,40.35278937383690
2200PeatonBici,2,39732,463,28/05/2025,-3.71103938225018,40.40243537402310
2200PeatonBici,13,61180,1603,07/05/2025,-3.63022591651617,40.38289580341580
2200PeatonBici,13,61181,1603,07/05/2025,-3.63018022867366,40.38289256091590
2200PeatonBici,13,61182,1603,07/05/2025,-3.6301267989532,40.38289145547630
2200PeatonBici,2,39733,463,28/05/2025,-3.71121481709555,40.40248638518130
2200PeatonBici,20,48128,1156,13/11/1987,-3.62316573864796,40.41844619882170
2200PeatonBici,20,48134,1156,13/11/1987,-3.62389413270974,40.4181833454054
2200PeatonBici,20,48139,1156,13/11/1987,-3.62437601982427,40.41779971706900
2200PeatonBici,16,28797,1267,21/05/1991,-3.61685635102215,40.45868375122130
2200PeatonBici,16,28798,1267,21/05/1991,-3.61706017484916,40.45869078092280
3200Bici,5,56988,166,,-3.68288667559693,40.44245678252310
2200PeatonBici,9,54584,573,08/06/1973,-3.73673484466821,40.43410336589830
2200PeatonBici,9,54585,573,08/06/1973,-3.73669120716772,40.43414497519580
3200Bici,9,57244,4601,,-3.71490754870016,40.42367931526550
