anyo;trimestre;barrio;num_viviendas;metros_2;dormitorios;banyos;renta_min;renta_media;renta_max;euros_m2;desv_tipica
2012;4;La Goteta;4;86;2,8;1,3;350;386;475;4,6;52
2012;4;Los Ángeles;22;94;3,1;1,5;350;449;600;4,8;66
2012;4;Mercado;12;96;2,8;1,8;350;495;600;5,6;66
2012;4;PAU I;8;87;2,1;1,8;500;584;700;6,9;63
2012;4;PAU II;5;93;3;1,8;500;540;600;5,8;37
2012;4;Pla del Bon Repós;44;82;2,4;1,2;315;408;600;5,2;62
2012;4;Playa de San Juan;113;100;2,4;1,7;300;606;1250;6,6;190
2012;4;Polígono de Babel;22;110;3,2;1,9;450;557;750;5,2;88
2012;4;Polígono de San Blas;2;106;3;2;450;525;600;5,2;75
2012;4;Raval Roig;10;70;2,5;1,2;375;481;800;7,3;124
2012;4;San Agustín;4;103;2,5;2;390;475;550;4,9;59
2012;4;San Antón;10;80;1,7;1,4;325;472;650;6,3;96
2012;4;San Blas;52;93;2,8;1,5;350;477;700;5,3;95
2012;4;San Gabriel;21;109;3;1,9;360;559;700;5,2;88
2012;4;Sidi Ifni - Nou Alacant;2;80;3;1;350;365;380;4,6;15
2012;4;Tómbola;5;106;3,4;1,8;395;494;575;4,7;66
2012;4;Urbanova;4;82;2;1,5;400;520;600;6,4;79
2012;4;Villafranqueza;6;82;2,5;1,7;300;399;450;4,9;58
2012;4;Virgen del Remedio;24;87;2,7;1,2;250;344;450;4;48
2012;4;Vistahermosa;2;120;3;1,5;425;513;600;5,2;88
2013;1;Alipark;7;94;2,9;1,6;350;467;600;5,1;96
2013;1;Altozano;20;97;3,1;1,4;320;425;520;4,6;60
2013;1;Benalúa;37;89;2,9;1,4;340;475;1000;5,4;145
2013;1;Cabo de las Huertas;20;124;2,3;1,7;340;646;1300;5,9;252
2013;1;Campoamor;23;81;2,7;1,3;280;410;550;5,2;61
2013;1;Carolinas Altas;28;85;2,6;1,3;300;394;500;4,7;46
2013;1;Carolinas Bajas;25;84;2,7;1,3;300;424;550;5,3;71
2013;1;Casco Antiguo - Sta. Cruz;16;71;1,8;1,3;300;479;750;7,6;126
2013;1;Centro;113;107;2,8;1,7;300;572;1100;5,8;161
2013;1;Centro Histórico - Tradicional;27;92;2,3;1,5;320;587;1200;6,6;233
2013;1;Ciudad de Asís;4;118;3;1,3;375;419;450;3,9;32
2013;1;Florida Alta;20;88;2,8;1,3;300;418;500;4,9;59
2013;1;Florida Baja;13;86;2,5;1,2;350;425;550;5;67
2013;1;Garbinet;4;87;2,3;1,5;450;487;500;5,9;22
2013;1;Gran Vía - Parque Avenidas;31;101;2,7;1,9;360;560;800;5,8;90
2013;1;Juan XXIII 1er sector;3;73;2,7;1;350;363;380;5;12
2013;1;La Albufereta;38;77;2,1;1,4;300;515;850;7,1;131
2013;1;Los Ángeles;21;94;2,9;1,7;295;422;584;4,5;63
2013;1;Mercado;20;95;3;1,5;299;450;800;5;93
2013;1;PAU I;21;94;2,3;1,7;375;511;680;5,7;97
2013;1;PAU II;8;105;3,1;1,9;460;546;620;5,4;52
2013;1;Pla del Bon Repós;59;79;2,5;1,2;250;399;700;5,3;75
2013;1;Playa de San Juan;108;96;2,3;1,7;300;587;1200;6,5;161
2013;1;Polígono de Babel;14;112;3,1;1,9;350;556;700;5,1;91
2013;1;Polígono de San Blas;9;107;3,1;1,9;450;523;600;5,1;43
2013;1;Raval Roig;9;88;2,3;1,6;360;514;750;6,2;169
