SISTEMA,NOMBRE,NombreURL,LINEA,EST,CVE_EST,TIPO,TipoURL,ALCALDIAS,AlcaldiasURL,AÑO
STC Metro,Zócalo/Tenochtitlan,zocalo/tenochtitlan,02,13,STC0213,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Pino Suárez,pinosuarez,02,14,STC0214,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,San Antonio Abad,sanantonioabad,02,15,STC0215,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Chabacano,chabacano,02,16,STC0216,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Viaducto,viaducto,02,17,STC0217,Intermedia,intermedia,Benito Juárez / Iztacalco,benitojuarez_iztacalco,1970
STC Metro,Xola,xola,02,18,STC0218,Intermedia,intermedia,Benito Juárez,benitojuarez,1970
STC Metro,Villa de Cortés,villadecortes,02,19,STC0219,Intermedia,intermedia,Benito Juárez,benitojuarez,1970
STC Metro,Nativitas,nativitas,02,20,STC0220,Intermedia,intermedia,Benito Juárez,benitojuarez,1970
STC Metro,Portales,portales,02,21,STC0221,Intermedia,intermedia,Benito Juárez,benitojuarez,1970
STC Metro,Ermita,ermita,02,22,STC0222,Intermedia / Transbordo,intermedia_transbordo,Benito Juárez,benitojuarez,1970
STC Metro,General Anaya,generalanaya,02,23,STC0223,Intermedia,intermedia,Coyoacán,coyoacan,1970
STC Metro,Tasqueña,tasqueña,02,24,STC0224,Terminal,terminal,Coyoacán,coyoacan,1970
STC Metro,Indios Verdes,indiosverdes,03,01,STC0301,Terminal,terminal,Gustavo A. Madero,gustavoa.madero,1979
STC Metro,Deportivo 18 de Marzo,deportivo18demarzo,03,02,STC0302,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1979
STC Metro,Potrero,potrero,03,03,STC0303,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1979
STC Metro,La Raza,laraza,03,04,STC0304,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1978
STC Metro,Tlatelolco,tlatelolco,03,05,STC0305,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Guerrero,guerrero,03,06,STC0306,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hidalgo,hidalgo,03,07,STC0307,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Juárez,juarez,03,08,STC0308,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Balderas,balderas,03,09,STC0309,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Niños Héroes/Poder Judicial CDMX,niñosheroes/poderjudicialcdmx,03,10,STC0310,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Hospital General,hospitalgeneral,03,11,STC0311,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1970
STC Metro,Centro Médico,centromedico,03,12,STC0312,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1980
STC Metro,Etiopía/Plaza de la Transparencia,etiopia/plazadelatransparencia,03,13,STC0313,Intermedia,intermedia,Benito Juárez,benitojuarez,1980
STC Metro,Eugenia,eugenia,03,14,STC0314,Intermedia,intermedia,Benito Juárez,benitojuarez,1980
STC Metro,División del Norte,divisiondelnorte,03,15,STC0315,Intermedia,intermedia,Benito Juárez,benitojuarez,1980
STC Metro,Zapata,zapata,03,16,STC0316,Intermedia / Transbordo,intermedia_transbordo,Benito Juárez,benitojuarez,1980
STC Metro,Coyoacán,coyoacan,03,17,STC0317,Intermedia,intermedia,Benito Juárez,benitojuarez,1983
STC Metro,Viveros/Derechos Humanos,viveros/derechoshumanos,03,18,STC0318,Intermedia,intermedia,Álvaro Obregón / Coyoacán,alvaroobregon_coyoacan,1983
STC Metro,Miguel Ángel de Quevedo,miguelangeldequevedo,03,19,STC0319,Intermedia,intermedia,Coyoacán,coyoacan,1983
STC Metro,Copilco,copilco,03,20,STC0320,Intermedia,intermedia,Coyoacán,coyoacan,1983
STC Metro,Universidad,universidad,03,21,STC0321,Terminal,terminal,Coyoacán,coyoacan,1983
STC Metro,Santa Anita,santaanita,04,01,STC0401,Terminal / Transbordo,terminal_transbordo,Iztacalco,iztacalco,1982
STC Metro,Jamaica,jamaica,04,02,STC0402,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1982
STC Metro,Fray Servando,frayservando,04,03,STC0403,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1982
STC Metro,Candelaria,candelaria,04,04,STC0404,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1981
STC Metro,Morelos,morelos,04,05,STC0405,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1981
STC Metro,Canal del Norte,canaldelnorte,04,06,STC0406,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1981
STC Metro,Consulado,consulado,04,07,STC0407,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1981
STC Metro,Bondojito,bondojito,04,08,STC0408,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1981
STC Metro,Talismán,talisman,04,09,STC0409,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1981
STC Metro,Martín Carrera,martincarrera,04,10,STC0410,Terminal / Transbordo,terminal_transbordo,Gustavo A. Madero,gustavoa.madero,1981
STC Metro,Politécnico,politecnico,05,01,STC0501,Terminal,terminal,Gustavo A. Madero,gustavoa.madero,1982
STC Metro,Instituto del Petróleo,institutodelpetroleo,05,02,STC0502,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1982
STC Metro,Autobuses del Norte,autobusesdelnorte,05,03,STC0503,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1982
STC Metro,La Raza,laraza,05,04,STC0504,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1982
STC Metro,Misterios,misterios,05,05,STC0505,Intermedia,intermedia,Gustavo A. Madero / Cuauhtémoc,gustavoa.madero_cuauhtemoc,1982
STC Metro,Valle Gómez,vallegomez,05,06,STC0506,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavoa.madero_venustianocarranza,1982
STC Metro,Consulado,consulado,05,07,STC0507,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero / Venustiano Carranza,gustavoa.madero_venustianocarranza,1981
STC Metro,Eduardo Molina,eduardomolina,05,08,STC0508,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavoa.madero_venustianocarranza,1981
STC Metro,Aragón,aragon,05,09,STC0509,Intermedia,intermedia,Gustavo A. Madero / Venustiano Carranza,gustavoa.madero_venustianocarranza,1981
STC Metro,Oceanía,oceania,05,10,STC0510,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1981
STC Metro,Terminal Aérea,terminalaerea,05,11,STC0511,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1981
STC Metro,Hangares,hangares,05,12,STC0512,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1981
STC Metro,Pantitlán,pantitlan,05,13,STC0513,Terminal / Transbordo,terminal_transbordo,Venustiano Carranza,venustianocarranza,1981
STC Metro,El Rosario,elrosario,06,01,STC0601,Terminal / Transbordo,terminal_transbordo,Azcapotzalco,azcapotzalco,1983
STC Metro,Tezozómoc,tezozomoc,06,02,STC0602,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1983
STC Metro,UAM Azcapotzalco,uamazcapotzalco,06,03,STC0603,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1983
STC Metro,Ferrería/Arena Ciudad de México,ferreria/arenaciudaddemexico,06,04,STC0604,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1983
STC Metro,Norte 45,norte45,06,05,STC0605,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1983
STC Metro,Vallejo,vallejo,06,06,STC0606,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1983
STC Metro,Instituto del Petróleo,institutodelpetroleo,06,07,STC0607,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1983
STC Metro,Lindavista,lindavista,06,08,STC0608,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1986
STC Metro,Deportivo 18 de Marzo,deportivo18demarzo,06,09,STC0609,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero,gustavoa.madero,1986
STC Metro,La Villa/Basílica,lavilla/basilica,06,10,STC0610,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1986
STC Metro,Martín Carrera,martincarrera,06,11,STC0611,Terminal / Transbordo,terminal_transbordo,Gustavo A. Madero,gustavoa.madero,1986
STC Metro,El Rosario,elrosario,07,01,STC0701,Terminal / Transbordo,terminal_transbordo,Azcapotzalco,azcapotzalco,1988
STC Metro,Aquiles Serdán,aquilesserdan,07,02,STC0702,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Camarones,camarones,07,03,STC0703,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Refinería,refineria,07,04,STC0704,Intermedia,intermedia,Azcapotzalco,azcapotzalco,1988
STC Metro,Tacuba,tacuba,07,05,STC0705,Intermedia / Transbordo,intermedia_transbordo,Miguel Hidalgo,miguelhidalgo,1984
STC Metro,San Joaquín,sanjoaquin,07,06,STC0706,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1984
STC Metro,Polanco,polanco,07,07,STC0707,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1984
STC Metro,Auditorio,auditorio,07,08,STC0708,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1984
STC Metro,Constituyentes,constituyentes,07,09,STC0709,Intermedia,intermedia,Miguel Hidalgo,miguelhidalgo,1985
STC Metro,Tacubaya,tacubaya,07,10,STC0710,Intermedia / Transbordo,intermedia_transbordo,Miguel Hidalgo,miguelhidalgo,1985
STC Metro,San Pedro de Los Pinos,sanpedrodelospinos,07,11,STC0711,Intermedia,intermedia,Benito Juárez,benitojuarez,1985
STC Metro,San Antonio,sanantonio,07,12,STC0712,Intermedia,intermedia,Benito Juárez,benitojuarez,1985
STC Metro,Mixcoac,mixcoac,07,13,STC0713,Intermedia / Transbordo,intermedia_transbordo,Benito Juárez,benitojuarez,1985
STC Metro,Barranca del Muerto,barrancadelmuerto,07,14,STC0714,Terminal,terminal,Álvaro Obregón,alvaroobregon,1985
STC Metro,Garibaldi/Lagunilla,garibaldi/lagunilla,08,01,STC0801,Terminal / Transbordo,terminal_transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Bellas Artes,bellasartes,08,02,STC0802,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,San Juan de Letrán,sanjuandeletran,08,03,STC0803,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Salto del Agua,saltodelagua,08,04,STC0804,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Doctores,doctores,08,05,STC0805,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Obrera,obrera,08,06,STC0806,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1994
STC Metro,Chabacano,chabacano,08,07,STC0807,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1994
STC Metro,La Viga,laviga,08,08,STC0808,Intermedia,intermedia,Cuauhtémoc / Venustiano Carranza,cuauhtemoc_venustianocarranza,1994
STC Metro,Santa Anita,santaanita,08,09,STC0809,Intermedia / Transbordo,intermedia_transbordo,Iztacalco,iztacalco,1994
STC Metro,Coyuya,coyuya,08,10,STC0810,Intermedia,intermedia,Iztacalco,iztacalco,1994
STC Metro,Iztacalco,iztacalco,08,11,STC0811,Intermedia,intermedia,Iztacalco,iztacalco,1994
STC Metro,Apatlaco,apatlaco,08,12,STC0812,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Aculco,aculco,08,13,STC0813,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Escuadrón 201,escuadron201,08,14,STC0814,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Atlalilco,atlalilco,08,15,STC0815,Intermedia / Transbordo,intermedia_transbordo,Iztapalapa,iztapalapa,1994
STC Metro,Iztapalapa,iztapalapa,08,16,STC0816,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Cerro de la Estrella,cerrodelaestrella,08,17,STC0817,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,UAM-I,uam-i,08,18,STC0818,Intermedia,intermedia,Iztapalapa,iztapalapa,1994
STC Metro,Constitución de 1917,constitucionde1917,08,19,STC0819,Terminal,terminal,Iztapalapa,iztapalapa,1994
STC Metro,Pantitlán,pantitlan,09,01,STC0901,Terminal / Transbordo,terminal_transbordo,Venustiano Carranza / Iztacalco,venustianocarranza_iztacalco,1987
STC Metro,Puebla,puebla,09,02,STC0902,Intermedia,intermedia,Venustiano Carranza / Iztacalco,venustianocarranza_iztacalco,1987
STC Metro,Ciudad Deportiva,ciudaddeportiva,09,03,STC0903,Intermedia,intermedia,Venustiano Carranza / Iztacalco,venustianocarranza_iztacalco,1987
STC Metro,Velódromo,velodromo,09,04,STC0904,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1987
STC Metro,Mixhiuca,mixhiuca,09,05,STC0905,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1987
STC Metro,Jamaica,jamaica,09,06,STC0906,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1987
STC Metro,Chabacano,chabacano,09,07,STC0907,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Lázaro Cárdenas,lazarocardenas,09,08,STC0908,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Centro Médico,centromedico,09,09,STC0909,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1987
STC Metro,Chilpancingo,chilpancingo,09,10,STC0910,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1988
STC Metro,Patriotismo,patriotismo,09,11,STC0911,Intermedia,intermedia,Cuauhtémoc / Miguel Hidalgo,cuauhtemoc_miguelhidalgo,1988
STC Metro,Tacubaya,tacubaya,09,12,STC0912,Terminal / Transbordo,terminal_transbordo,Miguel Hidalgo,miguelhidalgo,1988
STC Metro,Tláhuac,tlahuac,12,01,STC1201,Terminal,terminal,Tláhuac,tlahuac,2012
STC Metro,Tlaltenco,tlaltenco,12,02,STC1202,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Zapotitlán,zapotitlan,12,03,STC1203,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Nopalera,nopalera,12,04,STC1204,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Olivos,olivos,12,05,STC1205,Intermedia,intermedia,Tláhuac,tlahuac,2012
STC Metro,Tezonco,tezonco,12,06,STC1206,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Periferico Oriente,perifericooriente,12,07,STC1207,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Calle 11,calle11,12,08,STC1208,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Lomas Estrella,lomasestrella,12,09,STC1209,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,San Andres Tomatlán,sanandrestomatlan,12,10,STC1210,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Culhuacán,culhuacan,12,11,STC1211,Intermedia,intermedia,Iztapalapa,iztapalapa,2012
STC Metro,Atlalilco,atlalilco,12,12,STC1212,Intermedia / Transbordo,intermedia_transbordo,Iztapalapa,iztapalapa,2012
STC Metro,Mexicaltzingo,mexicaltzingo,12,13,STC1213,Intermedia,intermedia,Iztapalapa / Coyoacán,iztapalapa_coyoacan,2012
STC Metro,Ermita,ermita,12,14,STC1214,Intermedia / Transbordo,intermedia_transbordo,Benito Juárez,benitojuarez,2012
STC Metro,Eje Central,ejecentral,12,15,STC1215,Intermedia,intermedia,Benito Juárez,benitojuarez,2012
STC Metro,Parque de los Venados,parquedelosvenados,12,16,STC1216,Intermedia,intermedia,Benito Juárez,benitojuarez,2012
STC Metro,Zapata,zapata,12,17,STC1217,Intermedia / Transbordo,intermedia_transbordo,Benito Juárez,benitojuarez,2012
STC Metro,Hospital 20 de Noviembre,hospital20denoviembre,12,18,STC1218,Intermedia,intermedia,Benito Juárez,benitojuarez,2012
STC Metro,Insurgentes Sur,insurgentessur,12,19,STC1219,Intermedia,intermedia,Benito Juárez,benitojuarez,2012
STC Metro,Mixcoac,mixcoac,12,20,STC1220,Terminal / Transbordo,terminal_transbordo,Benito Juárez,benitojuarez,2012
STC Metro,Pantitlán,pantitlan,A,01,STCLA01,Terminal / Transbordo,terminal_transbordo,Iztacalco,iztacalco,1991
STC Metro,Agrícola Oriental,agricolaoriental,A,02,STCLA02,Intermedia,intermedia,Iztacalco,iztacalco,1991
STC Metro,Canal de San Juan,canaldesanjuan,A,03,STCLA03,Intermedia,intermedia,Iztacalco,iztacalco,1991
STC Metro,Tepalcates,tepalcates,A,04,STCLA04,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Guelatao,guelatao,A,05,STCLA05,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Peñón Viejo,peñonviejo,A,06,STCLA06,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Acatitla,acatitla,A,07,STCLA07,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Santa Marta,santamarta,A,08,STCLA08,Intermedia,intermedia,Iztapalapa,iztapalapa,1991
STC Metro,Los Reyes,losreyes,A,09,STCLA09,Intermedia,intermedia,Estado de México - La Paz,estadodemexico_lapaz,1991
STC Metro,La Paz,lapaz,A,10,STCLA10,Terminal,terminal,Estado de México - La Paz,estadodemexico_lapaz,1991
STC Metro,Buenavista,buenavista,B,01,STCLB01,Terminal,terminal,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Guerrero,guerrero,B,02,STCLB02,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Garibaldi/Lagunilla,garibaldi/lagunilla,B,03,STCLB03,Intermedia / Transbordo,intermedia_transbordo,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Lagunilla,lagunilla,B,04,STCLB04,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Tepito,tepito,B,05,STCLB05,Intermedia,intermedia,Cuauhtémoc,cuauhtemoc,1999
STC Metro,Morelos,morelos,B,06,STCLB06,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1999
STC Metro,San Lázaro,sanlazaro,B,07,STCLB07,Intermedia / Transbordo,intermedia_transbordo,Venustiano Carranza,venustianocarranza,1999
STC Metro,Ricardo Flores Magón,ricardofloresmagon,B,08,STCLB08,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1999
STC Metro,Romero Rubio,romerorubio,B,09,STCLB09,Intermedia,intermedia,Venustiano Carranza,venustianocarranza,1999
STC Metro,Oceanía,oceania,B,10,STCLB10,Intermedia / Transbordo,intermedia_transbordo,Gustavo A. Madero / Venustiano Carranza,gustavoa.madero_venustianocarranza,1999
STC Metro,Deportivo Oceanía,deportivooceania,B,11,STCLB11,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1999
STC Metro,Bosque de Aragón,bosquedearagon,B,12,STCLB12,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1999
STC Metro,Villa de Aragón,villadearagon,B,13,STCLB13,Intermedia,intermedia,Gustavo A. Madero,gustavoa.madero,1999
STC Metro,Nezahualcóyotl,nezahualcoyotl,B,14,STCLB14,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estadodemexico_nezahualcoyotl,2000
STC Metro,Impulsora,impulsora,B,15,STCLB15,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estadodemexico_nezahualcoyotl,2000
STC Metro,Río de los Remedios,riodelosremedios,B,16,STCLB16,Intermedia,intermedia,Estado de México - Nezahualcóyotl,estadodemexico_nezahualcoyotl,2000
STC Metro,Múzquiz,muzquiz,B,17,STCLB17,Intermedia,intermedia,Estado de México - Ecatepec,estadodemexico_ecatepec,2000
STC Metro,Ecatepec,ecatepec,B,18,STCLB18,Intermedia,intermedia,Estado de México - Ecatepec,estadodemexico_ecatepec,2000
STC Metro,Olímpica,olimpica,B,19,STCLB19,Intermedia,intermedia,Estado de México - Ecatepec,estadodemexico_ecatepec,2000
STC Metro,Plaza Aragón,plazaaragon,B,20,STCLB20,Intermedia,intermedia,Estado de México - Ecatepec,estadodemexico_ecatepec,2000
STC Metro,Ciudad Azteca,ciudadazteca,B,21,STCLB21,Terminal,terminal,Estado de México - Ecatepec,estadodemexico_ecatepec,2000
