ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,UBICACION,USO,MODELO
530130,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445668.324,4480431.58,ETRS89,40.47278913,-3.64094282,PLAZA,IGLESIA,2,28033,mar de bering - pza. de la iglesia,11118569,,FUE_16_0034,FUE25,ZV,PERSONAS,OTRO
530132,Fuentes de beber,165,APOSTOL SANTIAGO,16,HORTALEZA,FUERA_DE_SERVICIO,444008.268,4480729.67,ETRS89,40.47536422,-3.66055136,CALLE,BEMBIBRE,30,28033,parque en cuevas de almanzora,11121010,,FUE_16_0008,FUE25,ZV,PERSONAS,PIEDRA VP
530133,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,446636.781,4479992.09,ETRS89,40.46889276,-3.62948177,CALLE,ACONCAGUA,4,28043,bº san lorenzo z.f.,31017762,,FUE_16_0041,FUE25,ZV,PERSONAS,EGEA
530139,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,445917.089,4480781.46,ETRS89,40.47595726,-3.63803819,CALLE,BARICHARA,2,28033,cubierta san lorenzo,11118859,,FUE_16_0063,FUE25,ZV,PERSONAS,MU-37A
530146,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444922.231,4481153.01,ETRS89,40.47923898,-3.64980649,CALLE,SANTA ADELA,14,28033,parque hortaleza,31044514,,FUE_16_0064,FUE25,ZV,PERSONAS,MU-S37A
530147,Fuentes de beber,164,PINAR DEL REY,16,HORTALEZA,OPERATIVO,444917.802,4481304.94,ETRS89,40.48060734,-3.64987194,CARRETERA,ESTACION DE HORTALEZA,18,28033,parque hortaleza - sta. adela,31041861,,FUE_16_0065,FUE25,ZV,PERSONAS,EGEA
530150,Fuentes de beber,163,CANILLAS,16,HORTALEZA,OPERATIVO,445902.303,4479997.075,ETRS89,40.46889016,-3.63814572,CALLE,LOS EMIGRANTES,17,28043,c/v glorieta mar de cristal,31047139,,FUE_16_0069,FUE25,ZV,PERSONAS,MU-37A
530152,Fuentes de beber,163,CANILLAS,16,HORTALEZA,OPERATIVO,445132.751,4479334.756,ETRS89,40.46287319,-3.64716567,CALLE,GOMEZNARRO,498,28043,ctra. canillas - gomeznarro,11116692,,FUE_16_0072,FUE25,ZV,PERSONAS,PIEDRA VP
530271,Fuentes de beber,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,447072.27,4474476.6,ETRS89,40.41923393,-3.62388539,CALLE,HERMANOS GARCIA NOBLEJAS,133,28037,"entre farolas 143 y 145, en parque junto area infantil",11135554,,FUE_20_0062,FUE25,ZV,PERSONAS,MU-37A
530273,Fuentes de beber,204,ARCOS,20,SAN BLAS-CANILLEJAS,OPERATIVO,447247.85,4474706.77,ETRS89,40.42131859,-3.62183495,CALLE,SAN ROMAN DEL VALLE,6,28037,"junto farola 15, entre area infantil y area canina en parque de quevedo",31017432,,FUE_20_0064,FUE25,ZV,PERSONAS,MU-S37A
530276,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448100.45,4476469.34,ETRS89,40.43725052,-3.61192907,CALLE,TROYA,11,28022,"c/v c/ fenelon, junto area infantil",20178174,,FUE_20_0067,FUE25,ZV,PERSONAS,MU-37A
530281,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448220.690,4477097.070,ETRS89,40.44291299,-3.6105626,CALLE,NECTAR,45,28022,"en paseo central parque de canillejas, proximo a area infantil",11138087,2020-01-10 00:00:00.0,FUE_20_0075,FUE25,ZV,PERSONAS,MU-37A
530282,Fuentes de beber,201,SIMANCAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,447595.55,4476933.82,ETRS89,40.44140317,-3.61792015,CALLE,OSIRIS,15,28037,"entre farola 2 y area infantil, en parque",31036745,,FUE_20_0073,FUE25,ZV,PERSONAS,MU-37A
530283,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448122.03,4477005.69,ETRS89,40.44208363,-3.61171844,CALLE,SAN MARIANO,37,28022,"c/v c/ nectar, en parque de canillejas junto area infantil",20159966,,FUE_20_0076,FUE25,ZV,PERSONAS,MU-37A
530284,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448312.26,4476626.91,ETRS89,40.4386832,-3.60944465,CALLE,FENELON,15,28022,"frente farola 120, en parque arquitecto antonio palacios",11137644,,FUE_20_0078,FUE25,ZV,PERSONAS,MU-37A
530285,Fuentes de beber,207,CANILLEJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,448389.16,4476620.3,ETRS89,40.43862843,-3.60853744,CALLE,FENELON,17,28022,"entre farolas 23 y 25, en parque arquitecto antonio palacios",31041887,,FUE_20_0080,FUE25,ZV,PERSONAS,MU-S37A
530288,Fuentes de beber,206,REJAS,20,SAN BLAS-CANILLEJAS,OPERATIVO,451093.86,4477115.84,ETRS89,40.44325605,-3.57668635,CALLE,ARCAUTE,6,28022,junto area infantil arcaute,20090510,,FUE_20_0082,FUE25,ZV,PERSONAS,MU-37A
530290,Fuentes de beber,203,AMPOSTA,20,SAN BLAS-CANILLEJAS,OPERATIVO,446875.53,4475199.49,ETRS89,40.42573362,-3.62626472,CALLE,ISANDRO,22,28037,"entre farolas 12 y 14 de avda. arcentales, junto carril bici",31049698,,FUE_20_0085,FUE25,ZV,PERSONAS,MU-S37A
530296,Fuentes de beber,202,HELLIN,20,SAN BLAS-CANILLEJAS,OPERATIVO,447560.5,4476065.89,ETRS89,40.43358213,-3.61826179,CALLE,ALBAIDA,34,28037,"entre farolas 35 y 37, junto carril bici y area infantil",11134958,,FUE_20_0090,FUE25,ZV,PERSONAS,MU-37AA
