_id,CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,C.P.,POBLACION,PROVINCIA,Fichas,Túneles lavado
48,10005,LAS ROZAS,"40,494215","-3,868181","CALLE SAN SEBASTIAN, S/N",28230,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10005.pdf,""
49,10100,PINAR DE LAS ROZAS,"40,522282","-3,882258","AVENIDA DE LOS BOMBEROS, S/N",28230,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10100.pdf,""
50,10103,TORRELODONES,"40,574559","-3,956577","PLAZA SALVADOR SANCHEZ FRASCUELO, 1",28250,Torrelodones,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10103.pdf,""
51,10203,EL ESCORIAL,"40,585279","-4,132418","CALLE SANTA ROSA, 85",28280,"Escorial, El",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10203.pdf,""
52,10101,LAS MATAS,"40,552415","-3,896791","PLAZA DEL FERROCARRIL, S/N",28290,"Rozas de Madrid, Las",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10101.pdf,""
53,10201,SAN YAGO,"40,617864","-4,031106","AVENIDA SALTOS DEL SIL, 1",28292,Galapagar,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10201.pdf,""
54,10202,LAS ZORRERAS-NAVALQUEJIGO,"40,609265","-4,046336","CALLE ESTACION FERROCARRIL, S/N",28292,"Escorial, El",Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10202.pdf,""
55,60200,ARANJUEZ,"40,0347255","-3,6182069","PASEO ESTACION FERROCARRIL, S/N",28300,Aranjuez,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60200.pdf,""
56,60103,PINTO,"40,2429829","-3,7036534","CALLE CRISTO, S/N",28320,Pinto,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60103.pdf,""
57,60104,VALDEMORO,"40,1958184","-3,6646737","PLAZA ESTACION FERROCARRIL, S/N",28340,Valdemoro,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60104.pdf,""
58,60105,CIEMPOZUELOS,"40,1590641","-3,610221","AVENIDA DE SAN JUAN DE DIOS, S/N",28350,Ciempozuelos,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion60105.pdf,""
59,10200,VILLALBA DE GUADARRAMA,"40,626522","-4,00812","PLAZA ESTACION FERROCARRIL, S/N",28400,Collado Villalba,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10200.pdf,""
60,12001,LOS NEGRALES,"40,63856","-4,021915","CALLE PARALELA, 11",28409,Alpedrete,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12001.pdf,""
61,10104,GALAPAGAR-LA NAVATA,"40,600159","-3,981913","CARRETERA DE GALAPAGAR A LA NAVATA, S/N",28420,Galapagar,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion10104.pdf,""
62,12002,ALPEDRETE,"40,658096","-4,034996","CAMINO DE LA ESTACION, 34",28439,Alpedrete,Madrid,https://data.renfe.com/files/estaciones/FichaEstacion12002.pdf,""
